Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,PIM Link (description),PIM Link,Benchmark 2010 Status,Benchmark 2011 Status,Benchmark 2012 Status,Benchmark 2013 Status,Benchmark 2014 Status,Energy Audit Due Date,Energy Audit Status,Full.Address (address),2011 ENERGY STAR Score,Full.Address (city),Full.Address,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),Full.Address (state),Full.Address (zip),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2)
3715/007,166 Embarcadero,169 STEUART ST,94105,112615,Other,,http://propertymap.sfplanning.org/?&search=3715/007,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,169 STEUART ST,98,San Francisco,POINT (-122.39226 37.792487),20.5,,CA,94105,-55.9,,181.82,,20.2,,,159.6,276.2,124.5,,1106.3,,156.9,273.3,,163.3,296.9,141.1,141.1,1168.7,10.4,163.7,297.3,,153.2,287.2,133.3,133.3,1109.8,9.9,157.8,290.4
3903/004,Byer California - 1300 Bryant St.,1300 BRYANT ST,94103,43670,N/A,,http://propertymap.sfplanning.org/?&search=3903/004,Complied,Complied,Complied,Complied,Violation - Insufficient Data,4/1/13,Complied,1300 BRYANT ST,,San Francisco,POINT (-122.410827 37.769036),,,CA,94103,,,,,,,77,7.9,21.3,-37.8,,27.65,,8.2,21.6,59,13,27.9,-13.8,-13.8,38.6,0.9,11.3,26.2,,,,,,,,,
0291/001,1 Sutter Street,540 MARKET ST,94104,29328,Office,,http://propertymap.sfplanning.org/?&search=0291/001,N/A,Complied,Complied,Complied,Complied,4/1/14,Did Not Comply,540 MARKET ST,,San Francisco,POINT (-122.400276 37.790153),,,CA,94104,,,,,,,,94.2,180.1,38.5,,176.9,,91.8,177.6,62,85.2,149.8,-13.4,-13.4,162.1,5.5,85.9,150.6,74,65,124.4,-25.7,-25.7,123.6,4.2,73.3,133.2
3707/044,111 STEVENSON ST,111 STEVENSON ST,94105,36000,N/A,,http://propertymap.sfplanning.org/?&search=3707/044,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Pending,111 STEVENSON ST,,San Francisco,POINT (-122.401336 37.788421),,,CA,94105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608/018,Full Life Christian Center,3535 BALBOA ST,94121,15350,Worship Facility,,http://propertymap.sfplanning.org/?&search=1608/018,N/A,Violation - Did Not Report,Complied,Complied,Complied,4/1/13,Complied,3535 BALBOA ST,,San Francisco,POINT (-122.496951 37.775728),,,CA,94121,,,,,,,,,,,,,,,,91,15.3,38.9,-49.2,-49.3,18.3,1.2,15,38.7,89,14.2,37.5,-46.3,-46.3,16.3,1.1,14.6,37.9
3763/015A,460 BRYANT ST,460 BRYANT ST,94107,36075,N/A,,http://propertymap.sfplanning.org/?&search=3763/015A,N/A,Exempt - Vacant,Exempt - Vacant,Exempt - New Construction,Exempt - New Construction,4/1/13,Exempt - LEED EBOM,460 BRYANT ST,,San Francisco,POINT (-122.394905 37.782036),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0257/001,Chen Properties - 717 California Street,717 CALIFORNIA ST,94108,24166,Office,,http://propertymap.sfplanning.org/?&search=0257/001,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,717 CALIFORNIA ST,,San Francisco,POINT (-122.406197 37.792421),,,CA,94108,,,,,,,,,,,,,,,,,42.5,120.4,-18.6,-18.6,79.5,3.3,42.2,119.3,,40.1,118.2,-20.1,-20.1,76.5,3.2,40.3,116.2
0028/014,1215 COLUMBUS AVE,1215 COLUMBUS AVE,94133,19656,N/A,,http://propertymap.sfplanning.org/?&search=0028/014,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1215 COLUMBUS AVE,,San Francisco,POINT (-122.418004 37.805712),,,CA,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051/039,2511 BUSH ST,2511 BUSH ST,94115,32000,N/A,,http://propertymap.sfplanning.org/?&search=1051/039,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,2511 BUSH ST,,San Francisco,POINT (-122.439093 37.786304),,,CA,94115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023/003,555 BEACH ST,555 BEACH ST,94133,15706,N/A,,http://propertymap.sfplanning.org/?&search=0023/003,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,555 BEACH ST,,San Francisco,POINT (-122.418069 37.806977),,,CA,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3722/003,132 2ND ST,132 2ND ST,94105,35923,N/A,,http://propertymap.sfplanning.org/?&search=3722/003,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,132 2ND ST,,San Francisco,POINT (-122.399122 37.787461),,,CA,94105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3753/056,910 HARRISON ST,910 HARRISON ST,94107,10500,N/A,,http://propertymap.sfplanning.org/?&search=3753/056,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,910 HARRISON ST,,San Francisco,POINT (-122.402252 37.77872),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0313/001,101 Geary Street,101 GEARY ST,94108,13303,Office,,http://propertymap.sfplanning.org/?&search=0313/001,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,101 GEARY ST,,San Francisco,POINT (-122.40532 37.78773),,,CA,94108,,,,,,,,,,,,,,,,69,27.4,78.8,-19.9,-19.8,30.4,2.3,27.4,78.7,62,27.6,82.4,-13.3,-13.3,29.2,2.2,27.8,81.5
0326/003,"00890-San Francisco, CA",135 POWELL ST,94102,18990,Retail Store,,http://propertymap.sfplanning.org/?&search=0326/003,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,135 POWELL ST,,San Francisco,POINT (-122.407974 37.786031),,,CA,94102,,,,,,,,,,,,,,,,48,115.1,353.9,2.4,2.4,176.3,9.3,115.1,353.9,14,178.8,550.3,64.4,64.4,274,14.4,155.2,476.2
0297/007,Bohemian Club,624 TAYLOR ST,94102,118969,Social/Meeting Hall,,http://propertymap.sfplanning.org/?&search=0297/007,Complied,Complied,Complied,Complied,Complied,4/1/14,Complied,624 TAYLOR ST,,San Francisco,POINT (-122.411771 37.788143),82.1,,CA,94102,86.1,,610.06,,82.1,,,83,135.7,93,,620.65,,80.8,133.4,,77.8,127.6,82.6,82.8,582.2,4.9,78.6,128.4,,69.1,119.2,70.7,70.7,511.9,4.3,75.5,126
3732/029,984 FOLSOM ST,984 FOLSOM ST,94103,22240,N/A,,http://propertymap.sfplanning.org/?&search=3732/029,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,984 FOLSOM ST,,San Francisco,POINT (-122.405312 37.778755),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3730/059,1173 HOWARD ST,1173 HOWARD ST,94103,10132,N/A,,http://propertymap.sfplanning.org/?&search=3730/059,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1173 HOWARD ST,,San Francisco,POINT (-122.410925 37.776772),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0508/012,Hotel Del Sol,3100 WEBSTER ST,94123,23275,Hotel,,http://propertymap.sfplanning.org/?&search=0508/012,N/A,N/A,Complied,Complied,Complied,4/1/14,Pending,3100 WEBSTER ST,,San Francisco,POINT (-122.434273 37.79937),,,CA,94123,,,,,,,,,,,,,,,,35,101.4,154.3,12.7,12.6,140.4,6,101.4,154.3,31,99.7,153.4,17.1,17.1,138.6,6,99.7,153.4
0310/005,12 Geary St. Building,10 GEARY ST,94108,18812,Office,,http://propertymap.sfplanning.org/?&search=0310/005,Exempt - SqFt Not Subject This Year,Exempt - SqFt Not Subject This Year,Complied,Complied,Complied,4/1/13,Complied,10 GEARY ST,,San Francisco,POINT (-122.403733 37.787933),,,CA,94108,,,,,,,,,,,,,,,,99,29,52.9,-70.2,-70.2,34,1.9,29.4,53.4,100,22.3,42,-75.4,-75.4,27,1.4,26.8,46.7
4017/002,2727 Mariposa St.,2727 Mariposa St.,94110,34927,N/A,,http://propertymap.sfplanning.org/?&search=4017/002,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,2727 Mariposa St,,San Francisco,POINT (-122.410461 37.763033),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0285/012,Orchard Hotel,665 BUSH ST,94108,67921,Hotel,,http://propertymap.sfplanning.org/?&search=0285/012,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,Complied,4/1/13,Exempt - LEED EBOM,665 BUSH ST,,San Francisco,POINT (-122.408474 37.790207),,,CA,94108,,,,,,,98,37.2,108.4,-55,,211.92,,37.5,109.5,82,79.6,158,-29.7,-29.7,387.6,5.7,79.2,156.6,84,73,149.2,-31.8,-31.8,357.7,5.3,72.2,146.6
4339/002,2500 MARIN ST,2500 MARIN ST,94124,22490,N/A,,http://propertymap.sfplanning.org/?&search=4339/002,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,2500 MARIN ST,,San Francisco,POINT (-122.402365 37.748193),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3735/059,201 Third Street,201 Third St,94105,361041,Office,,http://propertymap.sfplanning.org/?&search=3735/059,Complied,Complied,Complied,Complied,Complied,11/15/12,Exempt - LEED EBOM,201 Third St,80,San Francisco,POINT (-122.400228 37.784807),60.8,,CA,94105,-31.9,,1816.16,,60.6,,82,57.8,190.7,-34.6,,1731.31,,57.7,190.6,80,59.9,186.7,-32.5,-32.5,1740.7,5.2,59.8,186.6,85,53.7,166.5,-37.8,-37.8,1555,4.3,54,166.8
3754/049,Oscar Printing,43 COLUMBIA SQUARE ST,94103,19384,Other - Services,,http://propertymap.sfplanning.org/?&search=3754/049,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,43 COLUMBIA SQUARE ST,,San Francisco,POINT (-122.405661 37.777222),,,CA,94103,,,,,,,,,,,,,,,,,21.8,68.5,-31.7,-31.7,30.1,1.8,21.8,68.5,,20.2,63.4,-36.9,-36.9,27.8,1.6,20.2,63.4
4316/001,1600 TENNESSEE ST,1600 TENNESSEE ST,94107,49723,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=4316/001,N/A,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,4/1/13,Pending,1600 TENNESSEE ST,,San Francisco,POINT (-122.388587 37.751013),,,CA,94107,,,,,,,,,,,,,,,,81,14,33.7,-42.5,-42.5,49.9,1,14.1,33.8,78,13.6,34.5,-38.2,-38.2,49.5,1,14.7,35.7
1076/034,1635 Divisadero Medical Building,1635 DIVISADERO ST,94115,71114,Medical Office,,http://propertymap.sfplanning.org/?&search=1076/034,Complied,Complied,Complied,Complied,Complied,4/1/14,Pending,1635 DIVISADERO ST,58,San Francisco,POINT (-122.439834 37.784786),67.5,,CA,94115,-11.8,,439.18,,65.5,,63,61.3,198,-18.5,,400.94,,61.3,198.1,49,71,218.1,0.4,0.5,438.1,6.2,71.5,220.5,43,75.4,226.9,7.6,7.6,427.6,6,73.1,219.9
3784/085,570 TOWNSEND ST,570 TOWNSEND ST,94103,14625,N/A,,http://propertymap.sfplanning.org/?&search=3784/085,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,570 TOWNSEND ST,,San Francisco,POINT (-122.401026 37.772354),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3715/001,100 The Embarcadero,1 MISSION ST,94105,31740,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=3715/001,Exempt - SqFt Not Subject This Year,Complied,Complied,Complied,Complied,4/1/14,Complied,1 MISSION ST,,San Francisco,POINT (-122.392921 37.793447),,,CA,94105,,,,,,,,242,486.9,255.8,,530.35,,243.4,491.7,,285.3,522.5,253.1,252.8,598.4,18.9,282.9,515.1,,276.1,526.7,255.7,255.7,567.6,17.9,273.6,518.9
3786/016,370 TOWNSEND ST,370 TOWNSEND ST,94107,23466,Office,,http://propertymap.sfplanning.org/?&search=3786/016,N/A,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,Complied,4/1/14,Complied,370 TOWNSEND ST,,San Francisco,POINT (-122.396563 37.775872),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,94,27.1,73.7,-52.9,-52.9,48.2,2.1,27.9,71.1
1015/054,3838 CALIFORNIA ST,3830 CALIFORNIA ST,94118,109613,N/A,,http://propertymap.sfplanning.org/?&search=1015/054,N/A,N/A,N/A,N/A,N/A,4/1/21,Upcoming,3830 CALIFORNIA ST,,San Francisco,POINT (-122.457493 37.785899),,,CA,94118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3708/043,595 Market,595 MARKET ST,94105,461271,Office,,http://propertymap.sfplanning.org/?&search=3708/043,Complied,Complied,Complied,Complied,Complied,4/1/13,Exempt - LEED EBOM,595 MARKET ST,90,San Francisco,POINT (-122.400884 37.789673),62.2,,CA,94105,-41.5,,2522.18,,60.3,,89,62.3,176,-40,,2527.87,,62.3,176,89,62,163.3,-41,-41,2516.7,5.5,62,163.3,90,58.5,159,-42,-42,2110.8,4.6,59.9,160.7
4227/032,1278 INDIANA ST,1278 INDIANA ST,94107,11000,N/A,,http://propertymap.sfplanning.org/?&search=4227/032,N/A,N/A,Violation - Did Not Report,Violation - Insufficient Data,Violation - Did Not Report,4/1/13,Did Not Comply,1278 INDIANA ST,,San Francisco,POINT (-122.390829 37.75427),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0011/008,Anchorage Garage,500 BEACH ST,94133,198525,Strip Mall,,http://propertymap.sfplanning.org/?&search=0011/008,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,500 BEACH ST,,San Francisco,POINT (-122.417713 37.807022),0,,CA,94133,,,83.82,,0,,,25.9,72.3,-69.6,-69.6,395.1,2,25.9,72.3,,27.3,74.8,-68.5,-68.5,412.3,2.1,27.3,74.8,,27.5,76.9,-67.6,-67.6,419.6,2.1,27.5,76.9
0646/016,Holiday Inn Golden Gateway,1550 VAN NESS AVE,94109,282783,N/A,,http://propertymap.sfplanning.org/?&search=0646/016,Complied,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,11/15/12,Pending,1550 VAN NESS AVE,70,San Francisco,POINT (-122.422134 37.78978),61.3,,CA,94109,-17.5,,1321.86,,58.1,,63,65.7,159.7,-11.6,,1410.62,,65.2,158.1,,,,,,,,,,,,,,,,,,
3707/021,666 MISSION ST,666 MISSION ST,94105,16310,Museum,,http://propertymap.sfplanning.org/?&search=3707/021,N/A,N/A,Complied,Complied,Complied,4/1/14,Pending,666 MISSION ST,,San Francisco,POINT (-122.401382 37.786766),,,CA,94105,,,,,,,,,,,,,,,,,27,68.4,-19.7,-19.7,32.2,2,27.1,68.4,,25.5,69.3,-18.6,-18.6,31.5,1.9,27,69.7
3531/027,195 ERIE ST,195 ERIE ST,94103,20110,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=3531/027,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,195 ERIE ST,,San Francisco,POINT (-122.419277 37.769096),,,CA,94103,,,,,,,,,,,,,,,,,33.2,104.1,-15.3,-15.4,58.6,2.9,33.2,104.1,,33.7,105.8,-14.1,-14.1,55.3,2.7,33.7,105.8
3703/033,1028 Mission Building,535 Jessie St,94103,33000,Office,,http://propertymap.sfplanning.org/?&search=3703/033,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,535 Jessie St,,San Francisco,POINT (-122.409934 37.780873),,,CA,94103,,,,,,,74,30.9,96.1,-25.6,-25.6,80.2,2.5,30.9,96,73,31.7,97.9,-24.1,-24.1,82,2.6,32,99,67,32.4,100.5,-17.7,-17.7,84,2.6,31.4,97.5
3554/007,3000 16th Street,3000 16TH ST,94103,17810,N/A,,http://propertymap.sfplanning.org/?&search=3554/007,N/A,N/A,Exempt,Exempt,Exempt - Tenant Turnover,4/1/14,Complied,3000 16TH ST,,San Francisco,POINT (-122.42037 37.765004),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543/003B,2145 Market Street,2145 Market St,94114,47407,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=3543/003B,N/A,Complied,Complied,Complied,Complied,4/1/14,Complied,2145 Market St,,San Francisco,POINT (-122.429715 37.76679),,,CA,94114,,,,,,,,77.7,244.1,98.2,,216.2,,79.4,249.4,,78.4,246.3,100,100.1,218.2,6.9,79.8,250.6,,89.9,269.1,118.5,118.5,226.2,7.2,86.6,257.4
0316/002,Mason O'Farrell Garage,301 MASON ST,94102,384169,Parking,,http://propertymap.sfplanning.org/?&search=0316/002,Violation - Insufficient Data,Violation - Insufficient Data,Complied,Complied,Complied,4/1/13,Complied,301 MASON ST,,San Francisco,POINT (-122.409731 37.786414),,,CA,94102,,,,,,,,333.6,1114.3,376.6,,380.79,,333.6,1114.3,,312.1,979.9,,,319.6,25.4,312.1,979.9,,285.9,897.7,,,292.8,23.3,285.9,897.7
1463/001,417 31ST AVE,417 31ST AVE,94121,11370,N/A,,http://propertymap.sfplanning.org/?&search=1463/001,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,417 31ST AVE,,San Francisco,POINT (-122.49129 37.781444),,,CA,94121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5696/036,992 PERALTA AVE,992 PERALTA AVE,94110,10678,N/A,,http://propertymap.sfplanning.org/?&search=5696/036,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,992 PERALTA AVE,,San Francisco,POINT (-122.409083 37.737325),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3518/002,220 9TH ST,220 9TH ST,94103,23805,N/A,,http://propertymap.sfplanning.org/?&search=3518/002,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,220 9TH ST,,San Francisco,POINT (-122.412725 37.774624),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0316/010,420 Taylor,420 TAYLOR ST,94102,78024,Office,,http://propertymap.sfplanning.org/?&search=0316/010,N/A,Complied,Complied,Complied,Complied,4/1/14,Pending,420 TAYLOR ST,95,San Francisco,POINT (-122.411388 37.786243),49.3,,CA,94102,-45,,206.3,,49.3,,82,63.8,212.9,-28.6,,266.59,,63.8,212.9,,127.5,278.6,126.5,126.3,422.5,9.2,127.5,278.6,15,135,289.6,45.3,45.3,422.6,9.2,145.4,300.5
3710/018,50 Beale,50 BEALE ST,94105,747573,N/A,,http://propertymap.sfplanning.org/?&search=3710/018,Complied,Complied,Complied,Complied,Exempt - Change of Ownership,4/1/14,Exempt - LEED EBOM,50 BEALE ST,94,San Francisco,POINT (-122.39618 37.791428),38.4,,CA,94105,-51.2,,2533.53,,38.4,,90,55.7,137.8,-45.1,-45.1,3109.6,4.3,,,90,55,134.8,-46,-45.9,3054.2,4.2,55.1,134.9,,,,,,,,,
1021/038,Jewish Community Center of San Francisco,3200 California St,94118,199978,Other,,http://propertymap.sfplanning.org/?&search=1021/038,Exempt,Exempt,Exempt,Complied,Complied,4/1/15,Complied,3200 California St,,San Francisco,POINT (-122.447409 37.787212),,,CA,94118,,,,,,,,197.6,356.2,189.3,189.4,1668.8,13,198.8,359.7,,208.6,370.1,200.6,200.6,1748.6,13.6,210.5,376.2,,211.3,389.5,216.3,216.3,1737.7,13.5,216.3,387.5
3752/095,880 Harrison,874 HARRISON ST,94107,33691,Office,,http://propertymap.sfplanning.org/?&search=3752/095,N/A,Complied,Complied,Complied,Complied,4/1/14,Complied,874 HARRISON ST,,San Francisco,POINT (-122.401403 37.779392),,,CA,94107,,,,,,,,,,,,,,,,100,18.7,47.3,-75.2,-75.2,46.1,1.4,18.8,47.4,100,15.2,41.4,-77.4,-77.4,38.8,1.2,16.4,42.6
3706/001,Central Tower,703 MARKET ST,94103,160345,N/A,,http://propertymap.sfplanning.org/?&search=3706/001,Complied,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,11/15/12,Complied,703 MARKET ST,89,San Francisco,POINT (-122.403636 37.787504),55.9,,CA,94103,-43.9,,562.42,,55.9,,98,43.8,115.3,-62.5,,607.46,,43.3,114.6,,,,,,,,,,,,,,,,,,
0022/010,15571-HI SF Fisherman's Wharf Annex,475 BEACH ST,94133,126250,Hotel,,http://propertymap.sfplanning.org/?&search=0022/010,Complied,Complied,Complied,Complied,Complied,11/15/12,Did Not Comply,475 BEACH ST,77,San Francisco,POINT (-122.416904 37.807125),62.4,,CA,94133,-24.6,,596.45,,63.4,,76,62,151.6,-23.5,,596.37,,63.7,153.4,72,65.6,147.9,-19.8,-19.8,575.4,4.6,65.5,147.8,70,64.8,147.3,-17.5,-17.5,570.5,4.5,64.8,147.3
3727/014,1126 HOWARD ST,1126 HOWARD ST,94103,24024,N/A,,http://propertymap.sfplanning.org/?&search=3727/014,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1126 HOWARD ST,,San Francisco,POINT (-122.410096 37.777417),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213/014,2211 HAYES ST,2235 HAYES ST,94117,67600,Medical Office,,http://propertymap.sfplanning.org/?&search=1213/014,Complied,Complied,Violation - Insufficient Data,Complied,Complied,4/1/14,Pending,2235 HAYES ST,,San Francisco,POINT (-122.453087 37.773057),228.4,,CA,94117,161,,387.34,,200.2,,,,,,,,,,,57,121.4,174.5,-9.4,-9.4,371.5,7.1,116.6,169.4,68,93,142.4,-23.8,-23.8,290.8,5.5,104.5,154.5
3721/001,100 First Plaza,100 1ST ST,94105,506544,Office,,http://propertymap.sfplanning.org/?&search=3721/001,Complied,Complied,Complied,Complied,Complied,4/1/13,Exempt - ENERGY STAR,100 1ST ST,92,San Francisco,POINT (-122.397384 37.789642),43,,CA,94105,-48.9,,1811.96,,43,,91,44.3,146.6,-47,,1866.49,,44.3,146.6,90,45.9,142.9,-45,-45,1872.4,4,45.9,142.9,92,41.2,128.3,-48.9,-48.9,1694.7,3.3,41.2,128.3
3956/004,Winton Properties,383 RHODE ISLAND ST,94103,27667,Office,,http://propertymap.sfplanning.org/?&search=3956/004,Complied,Complied,Complied,Complied,Complied,4/1/14,Pending,383 RHODE ISLAND ST,,San Francisco,POINT (-122.402612 37.764972),,,CA,94103,,,,,,,,,,,,,,,,100,21.6,53.4,-70.4,-70.4,37,1.6,20.7,52.4,100,18.4,49.9,-71.2,-71.2,33,1.4,18.4,49.9
0175/028,435 PACIFIC AVE,435 PACIFIC AVE,94133,33652,N/A,,http://propertymap.sfplanning.org/?&search=0175/028,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,435 PACIFIC AVE,,San Francisco,POINT (-122.402744 37.797422),,,CA,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3960/001,UPS - San Francisco,2222 17TH ST,94103,285047,Non-Refrigerated Warehouse,,http://propertymap.sfplanning.org/?&search=3960/001,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,2222 17TH ST,57,San Francisco,POINT (-122.405925 37.764587),30.1,,CA,94103,-9.7,,622.29,,29.8,,55,30.7,97.6,-7.2,,637.07,,30.7,97.5,35,31.4,93.6,21.4,21.4,585.7,2.5,30.8,92.4,37,29.7,90.6,18.6,18.6,561.2,2.4,29.7,90.6
3550/020,1830 Harrison,1830 HARRISON ST,94103,16710,Distribution Center,,http://propertymap.sfplanning.org/?&search=3550/020,N/A,Complied,Complied,Complied,Complied,4/1/14,Pending,1830 HARRISON ST,,San Francisco,POINT (-122.413376 37.768037),,,CA,94103,,,,,,,,,,,,,,,,,41.7,101.6,69.5,69.5,50.2,3,40.7,101.6,,33,88.1,46.8,46.8,41.4,2.5,35.7,90.8
3920/005,150 POTRERO AVE,150 POTRERO AVE,94103,11312,Non-Refrigerated Warehouse,,http://propertymap.sfplanning.org/?&search=3920/005,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,150 POTRERO AVE,,San Francisco,POINT (-122.407731 37.76755),,,CA,94103,,,,,,,,,,,,,,,,32,27.6,42,30.2,30,19,1.7,27.6,42,42,21.9,34.9,12.1,12.1,15,1.3,21.9,34.9
0037/001,60 Francisco,60 FRANCISCO ST,94133,130585,N/A,,http://propertymap.sfplanning.org/?&search=0037/001,Complied,Complied,Complied,Complied,Exempt,4/1/14,Complied,60 FRANCISCO ST,95,San Francisco,POINT (-122.406039 37.80562),41.3,,CA,94133,-53.7,,418.09,,44,,99,29.3,97.9,-67,,39.54,,29.3,97.9,88,49.6,117.6,-42.2,-42.2,486.4,3.7,49.8,117.6,,,,,,,,,
4909/031,1240 EGBERT AVE,1240 EGBERT AVE,94124,10000,N/A,,http://propertymap.sfplanning.org/?&search=4909/031,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1240 EGBERT AVE,,San Francisco,POINT (-122.389948 37.721143),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0268/006,The Mills Building,220 BUSH ST,94104,628264,Office,,http://propertymap.sfplanning.org/?&search=0268/006,Complied,Complied,Complied,Complied,Complied,11/15/12,Exempt - LEED EBOM,220 BUSH ST,92,San Francisco,POINT (-122.401189 37.791134),50.4,,CA,94104,-49.2,,2633.59,,48.8,,95,48.9,128,-53.9,,2417.35,,48.1,127.2,95,46.7,115.3,-55.2,-55.2,2143.6,3.6,47,115.6,96,41.6,107.1,-57.6,-57.6,1838.7,3.1,44.7,110.4
